WEEK	VISITING	HOME	DATE	TIME	Favorite	Underdog	Line	Status
				
WEEK 1	NE 	Buffalo 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	CIN 	Chicago	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	MIA 	Cleveland 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	OAK 	Indianapolis 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	KAN 	Jacksonville 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	TB 	NY Jets 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	TEN 	Pittsburgh 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	ATL 	New Orleans 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	Seattle 	CAR 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	MIN 	DETROIT 	SUNDAY, SEPTEMBER 8TH	1:00PM ET				
WEEK 1	GB 	SF 	SUNDAY, SEPTEMBER 8TH	4:25PM ET				
WEEK 1	ARI 	Saint Louis	SUNDAY, SEPTEMBER 8TH	4:25PM ET				
WEEK 1	NYG 	Dallas 	SUNDAY, SEPTEMBER 8TH	8:30PM ET				
WEEK 1	Philadelphia 	WAS 	MONDAY, SEPTEMBER 9TH	7:10PM ET				
WEEK 1	HOU 	SD 	MONDAY, SEPTEMBER 9TH	10:20PM ET				
WEEK 8	CAR 	TB 	THURSDAY, OCTOBER 24TH	8:25PM ET				
WEEK 8	Dallas 	DETROIT 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	NYG 	Philadelphia 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	CLE 	KAN 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	BUF 	New Orleans 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	SF 	Jacksonville 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	MIA 	NE 	SUNDAY, OCTOBER 27TH	1:00PM ET				
WEEK 8	Pittsburgh 	OAK 	SUNDAY, OCTOBER 27TH	4:05PM ET				
WEEK 8	NY Jets 	CIN 	SUNDAY, OCTOBER 27TH	4:05PM ET				
WEEK 8	WAS 	DEN 	SUNDAY, OCTOBER 27TH	4:25PM ET				
WEEK 8	ATL 	ARI 	SUNDAY, OCTOBER 27TH	4:25PM ET				
WEEK 8	GB 	MIN 	SUNDAY, OCTOBER 27TH	8:30PM ET				
WEEK 8	Seattle 	Saint Louis	MONDAY, OCTOBER 28TH	8:40PM ET				
WEEK 9	CIN 	MIA 	THURSDAY, OCTOBER 31ST	8:25PM ET				
WEEK 9	KAN 	Buffalo 	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	ATL 	CAR 	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	SD 	WAS 	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	New Orleans 	NY Jets 	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	TEN 	Saint Louis	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	MIN 	Dallas 	SUNDAY, New OrleansVEMBER 3RD	1:00PM ET				
WEEK 9	TB 	Seattle 	SUNDAY, New OrleansVEMBER 3RD	4:05PM ET				
WEEK 9	Philadelphia 	OAK 	SUNDAY, New OrleansVEMBER 3RD	4:05PM ET				
WEEK 9	Pittsburgh 	NE 	SUNDAY, New OrleansVEMBER 3RD	4:25PM ET				
WEEK 9	Baltimoretimore 	Cleveland 	SUNDAY, New OrleansVEMBER 3RD	4:25PM ET				
WEEK 9	Indianapolis 	HOU 	SUNDAY, New OrleansVEMBER 3RD	8:30PM ET				
WEEK 9	CHI 	GB 	MONDAY, New OrleansVEMBER 4TH	8:40PM ET				
WEEK 10	WAS 	MIN 	THURSDAY, New OrleansVEMBER 7TH	8:25PM ET				
WEEK 10	Philadelphia 	GB 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	DETROIT 	Chicago	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	Saint Louis	Indianapolis 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	CIN 	BAL 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	BUF 	Pittsburgh 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	Jacksonville 	TEN 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	OAK 	NYG 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	Seattle 	ATL 	SUNDAY, New OrleansVEMBER 10TH	1:00PM ET				
WEEK 10	CAR 	SF 	SUNDAY, New OrleansVEMBER 10TH	4:05PM ET				
WEEK 10	HOU 	ARI 	SUNDAY, New OrleansVEMBER 10TH	4:25PM ET				
WEEK 10	DEN 	SD 	SUNDAY, New OrleansVEMBER 10TH	4:25PM ET				
WEEK 10	Dallas 	New Orleans 	SUNDAY, New OrleansVEMBER 10TH	8:30PM ET				
WEEK 10	MIA 	TB 	MONDAY, New OrleansVEMBER 11TH	8:40PM ET				
WEEK 11	Indianapolis 	TEN 	THURSDAY, New OrleansVEMBER 14TH	8:25PM ET				
WEEK 11	OAK 	HOU 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	NY Jets 	Buffalo 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	CLE 	CIN 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	BAL 	Chicago	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	SD 	MIA 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	ARI 	Jacksonville 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	ATL 	TB 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	DETROIT 	Pittsburgh 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	WAS 	Philadelphia 	SUNDAY, New OrleansVEMBER 17TH	1:00PM ET				
WEEK 11	KAN 	DEN 	SUNDAY, New OrleansVEMBER 17TH	4:05PM ET				
WEEK 11	MIN 	Seattle 	SUNDAY, New OrleansVEMBER 17TH	4:25PM ET				
WEEK 11	SF 	New Orleans 	SUNDAY, New OrleansVEMBER 17TH	4:25PM ET				
WEEK 11	GB 	NYG 	SUNDAY, New OrleansVEMBER 17TH	8:30PM ET				
WEEK 11	NE 	CAR 	MONDAY, New OrleansVEMBER 18TH	8:40PM ET				
WEEK 12	New Orleans 	ATL 	THURSDAY, New OrleansVEMBER 21ST	8:25PM ET				
WEEK 12	CAR 	MIA 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	SD 	KAN 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	Pittsburgh 	Cleveland 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	Jacksonville 	HOU 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	NY Jets 	BAL 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	MIN 	GB 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	TB 	DETROIT 	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	CHI 	Saint Louis	SUNDAY, New OrleansVEMBER 24TH	1:00PM ET				
WEEK 12	Indianapolis 	ARI 	SUNDAY, New OrleansVEMBER 24TH	4:05PM ET				
WEEK 12	TEN 	OAK 	SUNDAY, New OrleansVEMBER 24TH	4:05PM ET				
WEEK 12	Dallas 	NYG 	SUNDAY, New OrleansVEMBER 24TH	4:25PM ET				
WEEK 12	DEN 	NE 	SUNDAY, New OrleansVEMBER 24TH	8:30PM ET				
WEEK 12	SF 	WAS 	MONDAY, New OrleansVEMBER 25TH	8:40PM ET				
WEEK 13	GB 	DETROIT 	THURSDAY, New OrleansVEMBER 28TH	12:30PM ET				
WEEK 13	OAK 	Dallas 	THURSDAY, New OrleansVEMBER 28TH	4:30PM ET				
WEEK 13	Pittsburgh 	BAL 	THURSDAY, New OrleansVEMBER 28TH	8:30PM ET				
WEEK 13	DEN 	KAN 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	Jacksonville 	Cleveland 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	TEN 	Indianapolis 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	ARI 	Philadelphia 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	MIA 	NY Jets 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	CHI 	MIN 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	TB 	CAR 	SUNDAY, DECEMBER 1ST	1:00PM ET				
WEEK 13	Saint Louis	SF 	SUNDAY, DECEMBER 1ST	4:05PM ET				
WEEK 13	ATL 	Buffalo 	SUNDAY, DECEMBER 1ST	4:05PM ET				
WEEK 13	CIN 	SD 	SUNDAY, DECEMBER 1ST	4:25PM ET				
WEEK 13	NE 	HOU 	SUNDAY, DECEMBER 1ST	4:25PM ET				
WEEK 13	NYG 	WAS 	SUNDAY, DECEMBER 1ST	8:30PM ET				
WEEK 13	New Orleans 	Seattle 	MONDAY, DECEMBER 2ND	8:40PM ET				
WEEK 14	HOU 	Jacksonville 	THURSDAY, DECEMBER 5TH	8:25PM ET				
WEEK 14	CLE 	NE 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	Indianapolis 	CIN 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	BUF 	TB 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	MIN 	BAL 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	MIA 	Pittsburgh 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	OAK 	NY Jets 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	KAN 	WAS 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	CAR 	New Orleans 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	DETROIT 	Philadelphia 	SUNDAY, DECEMBER 8TH	1:00PM ET				
WEEK 14	TEN 	DEN 	SUNDAY, DECEMBER 8TH	4:05PM ET				
WEEK 14	Saint Louis	ARI 	SUNDAY, DECEMBER 8TH	4:25PM ET				
WEEK 14	NYG 	SD 	SUNDAY, DECEMBER 8TH	4:25PM ET				
WEEK 14	Seattle 	SF 	SUNDAY, DECEMBER 8TH	4:25PM ET				
WEEK 14	ATL 	GB 	SUNDAY, DECEMBER 8TH	8:30PM ET				
WEEK 14	Dallas 	Chicago	MONDAY, DECEMBER 9TH	8:40PM ET				
WEEK 15	SD 	DEN 	THURSDAY, DECEMBER 12TH	8:25PM ET				
WEEK 15	CHI 	Cleveland 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	HOU 	Indianapolis 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	BUF 	Jacksonville 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	WAS 	ATL 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	NE 	MIA 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	SF 	TB 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	Seattle 	NYG 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	New Orleans 	Saint Louis	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	Philadelphia 	MIN 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	ARI 	TEN 	SUNDAY, DECEMBER 15TH	1:00PM ET				
WEEK 15	NY Jets 	CAR 	SUNDAY, DECEMBER 15TH	4:05PM ET				
WEEK 15	KAN 	OAK 	SUNDAY, DECEMBER 15TH	4:05PM ET				
WEEK 15	GB 	Dallas 	SUNDAY, DECEMBER 15TH	4:25PM ET				
WEEK 15	CIN 	Pittsburgh 	SUNDAY, DECEMBER 15TH	8:30PM ET				
WEEK 15	BAL 	DETROIT 	MONDAY, DECEMBER 16TH	8:40PM ET				
WEEK 16	MIN 	CIN 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	MIA 	Buffalo 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	Indianapolis 	KAN 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	CLE 	NY Jets 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	DEN 	HOU 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	TEN 	Jacksonville 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	Dallas 	WAS 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	CHI 	Philadelphia 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	New Orleans 	CAR 	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	TB 	Saint Louis	SUNDAY, DECEMBER 22ND	1:00PM ET				
WEEK 16	NYG 	DETROIT 	SUNDAY, DECEMBER 22ND	4:05PM ET				
WEEK 16	ARI 	Seattle 	SUNDAY, DECEMBER 22ND	4:05PM ET				
WEEK 16	Pittsburgh 	GB 	SUNDAY, DECEMBER 22ND	4:25PM ET				
WEEK 16	OAK 	SD 	SUNDAY, DECEMBER 22ND	4:25PM ET				
WEEK 16	NE 	BAL 	SUNDAY, DECEMBER 22ND	8:30PM ET				
WEEK 16	ATL 	SF 	MONDAY, DECEMBER 23RD	8:40PM ET				
WEEK 17	CAR 	ATL 	SUNDAY, DECEMBER 29TH	1:00PM ET				
WEEK 17	NY Jets 	MIA 	SUNDAY, DECEMBER 29TH	1:00PM ET				
WEEK 17	BAL 	CIN 	SUNDAY, DECEMBER 29TH	1:00PM ET				
